#,Peptide,ACP Score,ACP,AFP Score,AFP,AMP Score,AMP,AVP Score,AVP,ACVP Score,ACVP,Hemolysis Threshold,Hemolysis Conc (ug/ml),Hemolysis /Y/N
445,"seq_epochs_()_num_459",0.99,Yes,0.96,Yes,0.98,Yes,1.0,Yes,0.97,Yes,20,50.0,Yes
446,"seq_epochs_()_num_460",0.98,Yes,0.67,Yes,0.77,Yes,0.97,Yes,0.91,Yes,20,50.0,No
447,"seq_epochs_()_num_462",0.29,No,0.3,No,0.78,Yes,0.23,No,0.82,Yes,20,50.0,No
448,"seq_epochs_()_num_463",0.92,Yes,0.31,No,0.92,Yes,1.0,Yes,0.97,Yes,20,50.0,No
449,"seq_epochs_()_num_464",0.83,Yes,0.06,No,0.05,No,0.04,No,0.88,Yes,20,50.0,No
450,"seq_epochs_()_num_465",0.97,Yes,0.23,No,0.94,Yes,0.97,Yes,0.96,Yes,20,50.0,Yes
451,"seq_epochs_()_num_466",1.0,Yes,0.54,Yes,1.0,Yes,1.0,Yes,0.76,Yes,20,50.0,No
452,"seq_epochs_()_num_467",0.96,Yes,0.45,No,0.75,Yes,0.49,No,0.44,No,20,50.0,Yes
453,"seq_epochs_()_num_468",0.74,Yes,0.78,Yes,0.92,Yes,0.99,Yes,0.11,No,20,50.0,No
454,"seq_epochs_()_num_469",1.0,Yes,0.78,Yes,1.0,Yes,1.0,Yes,0.8,Yes,20,50.0,No
455,"seq_epochs_()_num_470",0.08,No,0.27,No,0.65,Yes,0.39,No,0.27,No,20,50.0,No
456,"seq_epochs_()_num_471",0.96,Yes,0.06,No,0.96,Yes,1.0,Yes,0.95,Yes,20,50.0,No
457,"seq_epochs_()_num_472",0.7,Yes,0.18,No,0.75,Yes,0.51,Yes,0.98,Yes,20,50.0,Yes
458,"seq_epochs_()_num_473",1.0,Yes,0.95,Yes,1.0,Yes,1.0,Yes,0.95,Yes,20,50.0,Yes
459,"seq_epochs_()_num_474",0.6,Yes,0.04,No,0.27,No,0.5,No,0.9,Yes,20,50.0,No
460,"seq_epochs_()_num_475",1.0,Yes,0.99,Yes,1.0,Yes,1.0,Yes,0.95,Yes,20,50.0,Yes
461,"seq_epochs_()_num_476",0.98,Yes,0.99,Yes,0.92,Yes,0.97,Yes,0.01,No,20,50.0,No
462,"seq_epochs_()_num_477",0.98,Yes,0.5,Yes,0.93,Yes,0.96,Yes,0.9,Yes,20,50.0,Yes
463,"seq_epochs_()_num_478",0.29,No,0.21,No,0.62,Yes,0.82,Yes,0.98,Yes,20,50.0,Yes
464,"seq_epochs_()_num_479",0.65,Yes,0.11,No,0.81,Yes,0.96,Yes,0.98,Yes,20,50.0,No
465,"seq_epochs_()_num_480",1.0,Yes,0.83,Yes,1.0,Yes,0.99,Yes,0.98,Yes,20,50.0,Yes
466,"seq_epochs_()_num_481",1.0,Yes,0.91,Yes,1.0,Yes,0.97,Yes,0.93,Yes,20,50.0,Yes
467,"seq_epochs_()_num_482",0.9,Yes,0.33,No,0.97,Yes,1.0,Yes,0.88,Yes,20,50.0,Yes
468,"seq_epochs_()_num_483",0.99,Yes,0.34,No,0.99,Yes,1.0,Yes,0.9,Yes,20,50.0,No
469,"seq_epochs_()_num_484",0.07,No,0.03,No,0.51,Yes,0.7,Yes,0.96,Yes,20,50.0,No
470,"seq_epochs_()_num_485",0.39,No,0.59,Yes,0.96,Yes,0.98,Yes,0.07,No,20,50.0,No
471,"seq_epochs_()_num_486",1.0,Yes,0.97,Yes,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,Yes
472,"seq_epochs_()_num_487",1.0,Yes,0.99,Yes,1.0,Yes,0.99,Yes,0.98,Yes,20,50.0,Yes
473,"seq_epochs_()_num_488",0.05,No,0.04,No,0.63,Yes,0.98,Yes,0.92,Yes,20,50.0,No
474,"seq_epochs_()_num_489",0.11,No,0.33,No,0.58,Yes,0.93,Yes,0.82,Yes,20,50.0,Yes
475,"seq_epochs_()_num_490",0.92,Yes,0.32,No,0.77,Yes,0.99,Yes,0.45,No,20,50.0,No
476,"seq_epochs_()_num_491",0.27,No,0.01,No,0.01,No,0.31,No,0.57,Yes,20,50.0,Yes
477,"seq_epochs_()_num_492",0.98,Yes,0.52,Yes,0.99,Yes,0.98,Yes,0.99,Yes,20,50.0,Yes
478,"seq_epochs_()_num_493",1.0,Yes,0.99,Yes,1.0,Yes,1.0,Yes,0.47,No,20,50.0,No
479,"seq_epochs_()_num_494",0.06,No,0.09,No,0.27,No,0.82,Yes,0.97,Yes,20,50.0,No
480,"seq_epochs_()_num_495",1.0,Yes,0.52,Yes,1.0,Yes,1.0,Yes,0.97,Yes,20,50.0,No
481,"seq_epochs_()_num_496",0.84,Yes,0.19,No,0.83,Yes,0.71,Yes,0.96,Yes,20,50.0,No
482,"seq_epochs_()_num_498",1.0,Yes,0.98,Yes,1.0,Yes,1.0,Yes,0.64,Yes,20,50.0,Yes
483,"seq_epochs_()_num_499",0.98,Yes,0.34,No,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,Yes
484,"seq_epochs_()_num_500",0.93,Yes,0.04,No,0.22,No,0.9,Yes,0.75,Yes,20,50.0,Yes
485,"seq_epochs_()_num_501",0.97,Yes,0.38,No,0.64,Yes,0.99,Yes,0.89,Yes,20,50.0,No
486,"seq_epochs_()_num_502",1.0,Yes,0.34,No,0.99,Yes,0.99,Yes,0.99,Yes,20,50.0,No
487,"seq_epochs_()_num_503",0.33,No,0.28,No,0.98,Yes,1.0,Yes,0.69,Yes,20,50.0,Yes
488,"seq_epochs_()_num_504",0.11,No,0.21,No,0.27,No,0.32,No,0.91,Yes,20,50.0,No
489,"seq_epochs_()_num_505",0.19,No,0.08,No,0.9,Yes,0.99,Yes,0.98,Yes,20,50.0,No
490,"seq_epochs_()_num_506",0.85,Yes,0.32,No,0.92,Yes,0.46,No,0.26,No,20,50.0,Yes
491,"seq_epochs_()_num_507",1.0,Yes,0.49,No,0.99,Yes,0.9,Yes,0.23,No,20,50.0,No
492,"seq_epochs_()_num_508",0.9,Yes,0.04,No,0.74,Yes,0.99,Yes,0.96,Yes,20,50.0,Yes
493,"seq_epochs_()_num_509",0.2,No,0.01,No,0.05,No,0.69,Yes,1.0,Yes,20,50.0,No
494,"seq_epochs_()_num_510",0.99,Yes,0.95,Yes,0.98,Yes,0.96,Yes,0.32,No,20,50.0,No
495,"seq_epochs_()_num_511",0.84,Yes,0.46,No,0.86,Yes,0.95,Yes,0.81,Yes,20,50.0,Yes
496,"seq_epochs_()_num_512",0.99,Yes,0.04,No,0.65,Yes,0.69,Yes,0.11,No,20,50.0,No
497,"seq_epochs_()_num_513",1.0,Yes,0.79,Yes,1.0,Yes,1.0,Yes,0.86,Yes,20,50.0,Yes
498,"seq_epochs_()_num_514",0.98,Yes,0.43,No,0.92,Yes,1.0,Yes,0.66,Yes,20,50.0,Yes
499,"seq_epochs_()_num_515",1.0,Yes,0.71,Yes,1.0,Yes,0.39,No,0.98,Yes,20,50.0,Yes
500,"seq_epochs_()_num_517",1.0,Yes,0.53,Yes,1.0,Yes,1.0,Yes,0.98,Yes,20,50.0,No
501,"seq_epochs_()_num_518",1.0,Yes,0.78,Yes,0.99,Yes,0.98,Yes,0.97,Yes,20,50.0,Yes
502,"seq_epochs_()_num_519",0.16,No,0.21,No,0.89,Yes,0.99,Yes,0.96,Yes,20,50.0,No
503,"seq_epochs_()_num_520",0.3,No,0.44,No,0.47,No,0.96,Yes,0.13,No,20,50.0,Yes
504,"seq_epochs_()_num_521",0.94,Yes,0.15,No,0.41,No,0.99,Yes,0.99,Yes,20,50.0,No
505,"seq_epochs_()_num_522",1.0,Yes,0.95,Yes,0.86,Yes,0.95,Yes,0.15,No,20,50.0,No
506,"seq_epochs_()_num_523",0.24,No,0.45,No,0.31,No,0.37,No,0.75,Yes,20,50.0,No
507,"seq_epochs_()_num_524",0.05,No,0.01,No,0.84,Yes,0.24,No,0.06,No,20,50.0,No
508,"seq_epochs_()_num_525",0.93,Yes,0.05,No,0.2,No,0.59,Yes,0.97,Yes,20,50.0,Yes
509,"seq_epochs_()_num_526",0.98,Yes,0.93,Yes,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,Yes
510,"seq_epochs_()_num_527",0.13,No,0.51,Yes,0.34,No,0.99,Yes,0.75,Yes,20,50.0,No
511,"seq_epochs_()_num_528",1.0,Yes,0.91,Yes,0.88,Yes,0.99,Yes,0.41,No,20,50.0,No
512,"seq_epochs_()_num_529",0.98,Yes,1.0,Yes,1.0,Yes,1.0,Yes,0.7,Yes,20,50.0,No
513,"seq_epochs_()_num_530",0.85,Yes,0.45,No,0.6,Yes,1.0,Yes,0.19,No,20,50.0,No
514,"seq_epochs_()_num_531",0.41,No,0.04,No,0.86,Yes,1.0,Yes,0.97,Yes,20,50.0,No
515,"seq_epochs_()_num_532",0.98,Yes,0.5,Yes,0.99,Yes,0.96,Yes,0.98,Yes,20,50.0,Yes
516,"seq_epochs_()_num_533",0.04,No,0.01,No,0.22,No,0.77,Yes,0.9,Yes,20,50.0,No
517,"seq_epochs_()_num_534",0.98,Yes,0.58,Yes,1.0,Yes,0.99,Yes,0.22,No,20,50.0,No
518,"seq_epochs_()_num_535",0.05,No,0.01,No,0.04,No,0.65,Yes,0.91,Yes,20,50.0,No
519,"seq_epochs_()_num_536",0.18,No,0.01,No,0.32,No,0.93,Yes,0.92,Yes,20,50.0,No
520,"seq_epochs_()_num_538",0.09,No,0.56,Yes,0.89,Yes,0.45,No,0.39,No,20,50.0,No
521,"seq_epochs_()_num_539",0.98,Yes,0.8,Yes,0.99,Yes,1.0,Yes,1.0,Yes,20,50.0,Yes
522,"seq_epochs_()_num_540",0.56,Yes,0.12,No,0.98,Yes,0.89,Yes,0.91,Yes,20,50.0,No
523,"seq_epochs_()_num_541",0.5,Yes,0.07,No,0.04,No,0.99,Yes,0.56,Yes,20,50.0,No
524,"seq_epochs_()_num_542",1.0,Yes,0.98,Yes,0.98,Yes,0.97,Yes,0.07,No,20,50.0,No
525,"seq_epochs_()_num_543",0.09,No,0.02,No,0.24,No,0.17,No,0.94,Yes,20,50.0,No
526,"seq_epochs_()_num_544",0.99,Yes,0.71,Yes,0.98,Yes,0.96,Yes,0.93,Yes,20,50.0,Yes
527,"seq_epochs_()_num_545",0.83,Yes,0.62,Yes,0.81,Yes,0.92,Yes,0.4,No,20,50.0,Yes
528,"seq_epochs_()_num_546",0.75,Yes,0.24,No,0.07,No,0.92,Yes,0.96,Yes,20,50.0,No
529,"seq_epochs_()_num_547",0.03,No,0.01,No,0.16,No,0.3,No,0.96,Yes,20,50.0,No
530,"seq_epochs_()_num_548",0.08,No,0.01,No,0.3,No,0.89,Yes,0.81,Yes,20,50.0,No
531,"seq_epochs_()_num_549",1.0,Yes,0.51,Yes,0.98,Yes,0.95,Yes,0.95,Yes,20,50.0,Yes
532,"seq_epochs_()_num_550",0.92,Yes,0.3,No,0.29,No,0.92,Yes,0.37,No,20,50.0,No
533,"seq_epochs_()_num_551",1.0,Yes,0.52,Yes,1.0,Yes,0.99,Yes,0.99,Yes,20,50.0,Yes
534,"seq_epochs_()_num_552",1.0,Yes,0.75,Yes,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,Yes
535,"seq_epochs_()_num_553",0.13,No,0.45,No,0.95,Yes,0.44,No,0.04,No,20,50.0,No
536,"seq_epochs_()_num_554",0.96,Yes,0.49,No,0.79,Yes,0.93,Yes,0.97,Yes,20,50.0,Yes
537,"seq_epochs_()_num_555",0.3,No,0.08,No,0.51,Yes,0.76,Yes,0.77,Yes,20,50.0,No
538,"seq_epochs_()_num_556",0.15,No,0.01,No,0.07,No,0.98,Yes,0.67,Yes,20,50.0,No
539,"seq_epochs_()_num_557",1.0,Yes,0.95,Yes,0.97,Yes,1.0,Yes,0.25,No,20,50.0,No
540,"seq_epochs_()_num_558",0.99,Yes,0.51,Yes,0.98,Yes,1.0,Yes,0.57,Yes,20,50.0,No
541,"seq_epochs_()_num_559",0.59,Yes,0.17,No,0.61,Yes,0.42,No,0.95,Yes,20,50.0,Yes
542,"seq_epochs_()_num_560",0.98,Yes,0.68,Yes,1.0,Yes,0.99,Yes,0.97,Yes,20,50.0,Yes
543,"seq_epochs_()_num_561",0.94,Yes,0.33,No,0.89,Yes,0.98,Yes,0.95,Yes,20,50.0,No
544,"seq_epochs_()_num_562",0.33,No,0.03,No,0.25,No,1.0,Yes,0.94,Yes,20,50.0,No
545,"seq_epochs_()_num_563",0.42,No,0.06,No,0.96,Yes,0.83,Yes,0.93,Yes,20,50.0,No
546,"seq_epochs_()_num_564",1.0,Yes,0.62,Yes,1.0,Yes,1.0,Yes,0.26,No,20,50.0,Yes
547,"seq_epochs_()_num_565",1.0,Yes,0.93,Yes,1.0,Yes,1.0,Yes,0.94,Yes,20,50.0,Yes
548,"seq_epochs_()_num_566",0.96,Yes,0.54,Yes,1.0,Yes,0.99,Yes,0.99,Yes,20,50.0,No
549,"seq_epochs_()_num_567",0.05,No,0.04,No,0.49,No,0.34,No,0.93,Yes,20,50.0,No
550,"seq_epochs_()_num_568",0.98,Yes,0.96,Yes,1.0,Yes,0.99,Yes,1.0,Yes,20,50.0,No
551,"seq_epochs_()_num_569",1.0,Yes,0.56,Yes,0.99,Yes,0.98,Yes,0.56,Yes,20,50.0,No
552,"seq_epochs_()_num_570",0.03,No,0.04,No,0.04,No,0.43,No,0.95,Yes,20,50.0,No
553,"seq_epochs_()_num_571",0.87,Yes,0.69,Yes,0.97,Yes,0.72,Yes,0.62,Yes,20,50.0,Yes
554,"seq_epochs_()_num_572",1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,0.96,Yes,20,50.0,Yes
555,"seq_epochs_()_num_573",1.0,Yes,0.95,Yes,1.0,Yes,1.0,Yes,0.82,Yes,20,50.0,No
556,"seq_epochs_()_num_574",0.99,Yes,0.97,Yes,1.0,Yes,1.0,Yes,0.69,Yes,20,50.0,Yes
557,"seq_epochs_()_num_575",0.72,Yes,0.09,No,0.78,Yes,0.51,Yes,0.14,No,20,50.0,No
558,"seq_epochs_()_num_576",1.0,Yes,0.98,Yes,1.0,Yes,1.0,Yes,0.91,Yes,20,50.0,Yes
559,"seq_epochs_()_num_577",0.99,Yes,0.9,Yes,0.97,Yes,0.76,Yes,0.89,Yes,20,50.0,No
560,"seq_epochs_()_num_578",0.97,Yes,0.35,No,1.0,Yes,0.89,Yes,0.93,Yes,20,50.0,Yes
561,"seq_epochs_()_num_579",0.73,Yes,0.31,No,0.93,Yes,1.0,Yes,0.79,Yes,20,50.0,No
562,"seq_epochs_()_num_580",0.99,Yes,0.97,Yes,1.0,Yes,0.9,Yes,0.64,Yes,20,50.0,Yes
563,"seq_epochs_()_num_581",0.03,No,0.0,No,0.05,No,0.7,Yes,0.96,Yes,20,50.0,No
564,"seq_epochs_()_num_582",0.45,No,0.29,No,0.41,No,0.99,Yes,0.72,Yes,20,50.0,Yes
565,"seq_epochs_()_num_583",0.03,No,0.07,No,0.27,No,0.58,Yes,0.82,Yes,20,50.0,No
566,"seq_epochs_()_num_584",0.89,Yes,0.56,Yes,0.99,Yes,0.17,No,0.09,No,20,50.0,Yes
567,"seq_epochs_()_num_585",0.06,No,0.03,No,0.21,No,0.21,No,0.97,Yes,20,50.0,No
568,"seq_epochs_()_num_586",0.22,No,0.02,No,0.7,Yes,0.48,No,0.98,Yes,20,50.0,No
569,"seq_epochs_()_num_587",1.0,Yes,0.93,Yes,1.0,Yes,0.99,Yes,0.54,Yes,20,50.0,Yes
570,"seq_epochs_()_num_588",0.07,No,0.09,No,0.17,No,0.97,Yes,0.95,Yes,20,50.0,No
571,"seq_epochs_()_num_590",1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,0.97,Yes,20,50.0,Yes
572,"seq_epochs_()_num_591",0.43,No,0.08,No,0.67,Yes,0.94,Yes,0.61,Yes,20,50.0,No
573,"seq_epochs_()_num_592",1.0,Yes,0.95,Yes,1.0,Yes,0.99,Yes,0.2,No,20,50.0,No
574,"seq_epochs_()_num_593",1.0,Yes,0.98,Yes,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,Yes
575,"seq_epochs_()_num_594",1.0,Yes,0.49,No,1.0,Yes,0.99,Yes,0.02,No,20,50.0,Yes
576,"seq_epochs_()_num_595",1.0,Yes,0.58,Yes,1.0,Yes,0.99,Yes,0.28,No,20,50.0,No
577,"seq_epochs_()_num_596",0.92,Yes,0.67,Yes,0.98,Yes,0.94,Yes,0.14,No,20,50.0,No
578,"seq_epochs_()_num_597",0.98,Yes,0.55,Yes,1.0,Yes,0.96,Yes,0.9,Yes,20,50.0,Yes
579,"seq_epochs_()_num_598",0.94,Yes,0.52,Yes,0.82,Yes,0.97,Yes,0.95,Yes,20,50.0,Yes
580,"seq_epochs_()_num_599",1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,0.62,Yes,20,50.0,No
581,"seq_epochs_()_num_600",1.0,Yes,0.42,No,1.0,Yes,1.0,Yes,0.53,Yes,20,50.0,No
582,"seq_epochs_()_num_601",0.99,Yes,0.51,Yes,0.95,Yes,1.0,Yes,0.55,Yes,20,50.0,Yes
583,"seq_epochs_()_num_602",0.99,Yes,0.33,No,0.97,Yes,0.99,Yes,0.47,No,20,50.0,No
584,"seq_epochs_()_num_603",0.23,No,0.01,No,0.58,Yes,0.6,Yes,0.51,Yes,20,50.0,No
585,"seq_epochs_()_num_604",0.28,No,0.1,No,0.17,No,0.96,Yes,0.93,Yes,20,50.0,No
586,"seq_epochs_()_num_605",0.73,Yes,0.34,No,0.98,Yes,0.98,Yes,0.92,Yes,20,50.0,No
587,"seq_epochs_()_num_606",0.04,No,0.3,No,0.86,Yes,0.71,Yes,1.0,Yes,20,50.0,No
588,"seq_epochs_()_num_607",0.98,Yes,0.14,No,0.91,Yes,0.68,Yes,0.58,Yes,20,50.0,No
589,"seq_epochs_()_num_608",0.21,No,0.06,No,0.15,No,0.45,No,0.97,Yes,20,50.0,No
590,"seq_epochs_()_num_609",0.09,No,0.03,No,0.74,Yes,0.14,No,0.93,Yes,20,50.0,No
591,"seq_epochs_()_num_610",0.98,Yes,0.81,Yes,0.99,Yes,0.9,Yes,0.86,Yes,20,50.0,Yes
592,"seq_epochs_()_num_611",0.94,Yes,0.26,No,0.96,Yes,0.97,Yes,0.41,No,20,50.0,No
593,"seq_epochs_()_num_612",0.45,No,0.02,No,0.3,No,0.9,Yes,0.99,Yes,20,50.0,No
594,"seq_epochs_()_num_613",1.0,Yes,0.97,Yes,1.0,Yes,0.99,Yes,0.42,No,20,50.0,No
595,"seq_epochs_()_num_614",0.97,Yes,0.26,No,0.53,Yes,0.97,Yes,0.41,No,20,50.0,Yes
596,"seq_epochs_()_num_615",1.0,Yes,0.74,Yes,0.99,Yes,0.98,Yes,0.73,Yes,20,50.0,Yes
597,"seq_epochs_()_num_616",1.0,Yes,1.0,Yes,1.0,Yes,0.97,Yes,0.97,Yes,20,50.0,Yes
598,"seq_epochs_()_num_617",0.99,Yes,0.92,Yes,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,No
599,"seq_epochs_()_num_618",1.0,Yes,0.96,Yes,1.0,Yes,0.95,Yes,0.04,No,20,50.0,No
600,"seq_epochs_()_num_619",0.58,Yes,0.15,No,0.25,No,0.47,No,0.14,No,20,50.0,No
601,"seq_epochs_()_num_620",0.25,No,0.44,No,0.56,Yes,0.17,No,0.75,Yes,20,50.0,No
602,"seq_epochs_()_num_621",0.3,No,0.04,No,0.22,No,0.79,Yes,0.89,Yes,20,50.0,Yes
603,"seq_epochs_()_num_622",0.98,Yes,0.96,Yes,1.0,Yes,0.99,Yes,0.99,Yes,20,50.0,No
604,"seq_epochs_()_num_623",0.28,No,0.01,No,0.03,No,0.96,Yes,0.91,Yes,20,50.0,No
605,"seq_epochs_()_num_624",0.13,No,0.05,No,0.11,No,0.91,Yes,0.67,Yes,20,50.0,No
606,"seq_epochs_()_num_626",0.55,Yes,0.48,No,0.1,No,0.13,No,0.38,No,20,50.0,No
607,"seq_epochs_()_num_627",0.99,Yes,0.51,Yes,1.0,Yes,1.0,Yes,0.21,No,20,50.0,No
608,"seq_epochs_()_num_628",0.9,Yes,0.76,Yes,0.96,Yes,0.48,No,0.8,Yes,20,50.0,No
609,"seq_epochs_()_num_629",1.0,Yes,0.98,Yes,1.0,Yes,0.99,Yes,0.08,No,20,50.0,No
610,"seq_epochs_()_num_630",0.97,Yes,0.31,No,0.87,Yes,0.5,Yes,0.45,No,20,50.0,No
611,"seq_epochs_()_num_631",1.0,Yes,0.5,No,0.96,Yes,0.97,Yes,0.98,Yes,20,50.0,No
612,"seq_epochs_()_num_632",0.55,Yes,0.69,Yes,1.0,Yes,1.0,Yes,0.09,No,20,50.0,No
613,"seq_epochs_()_num_633",0.96,Yes,0.35,No,0.98,Yes,1.0,Yes,0.3,No,20,50.0,No
614,"seq_epochs_()_num_634",0.25,No,0.05,No,0.01,No,0.31,No,0.77,Yes,20,50.0,No
615,"seq_epochs_()_num_635",0.09,No,0.0,No,0.08,No,0.14,No,0.97,Yes,20,50.0,No
616,"seq_epochs_()_num_637",1.0,Yes,0.49,No,0.74,Yes,0.79,Yes,0.24,No,20,50.0,Yes
617,"seq_epochs_()_num_638",0.09,No,0.03,No,0.49,No,0.73,Yes,0.97,Yes,20,50.0,No
618,"seq_epochs_()_num_639",0.82,Yes,0.58,Yes,0.87,Yes,0.99,Yes,0.85,Yes,20,50.0,No
619,"seq_epochs_()_num_640",1.0,Yes,0.78,Yes,1.0,Yes,0.99,Yes,0.97,Yes,20,50.0,No
620,"seq_epochs_()_num_641",0.21,No,0.21,No,0.52,Yes,0.63,Yes,0.93,Yes,20,50.0,Yes
621,"seq_epochs_()_num_642",0.99,Yes,0.62,Yes,1.0,Yes,0.93,Yes,0.23,No,20,50.0,No
622,"seq_epochs_()_num_643",1.0,Yes,0.94,Yes,0.99,Yes,0.97,Yes,0.91,Yes,20,50.0,Yes
623,"seq_epochs_()_num_644",0.29,No,0.02,No,0.86,Yes,0.59,Yes,0.93,Yes,20,50.0,No
624,"seq_epochs_()_num_645",0.41,No,0.0,No,0.32,No,0.4,No,0.97,Yes,20,50.0,No
625,"seq_epochs_()_num_646",1.0,Yes,0.99,Yes,0.99,Yes,1.0,Yes,0.38,No,20,50.0,No
626,"seq_epochs_()_num_647",0.93,Yes,0.51,Yes,1.0,Yes,0.99,Yes,0.22,No,20,50.0,Yes
627,"seq_epochs_()_num_648",1.0,Yes,0.97,Yes,1.0,Yes,1.0,Yes,0.83,Yes,20,50.0,Yes
628,"seq_epochs_()_num_649",0.99,Yes,0.54,Yes,0.98,Yes,0.89,Yes,0.85,Yes,20,50.0,Yes
629,"seq_epochs_()_num_650",1.0,Yes,0.99,Yes,1.0,Yes,0.94,Yes,0.71,Yes,20,50.0,No
630,"seq_epochs_()_num_651",0.25,No,0.34,No,0.24,No,0.99,Yes,0.45,No,20,50.0,No
631,"seq_epochs_()_num_652",0.75,Yes,0.48,No,0.9,Yes,0.95,Yes,0.88,Yes,20,50.0,No
632,"seq_epochs_()_num_653",0.99,Yes,0.47,No,0.94,Yes,0.59,Yes,0.9,Yes,20,50.0,Yes
633,"seq_epochs_()_num_654",0.93,Yes,0.11,No,0.97,Yes,1.0,Yes,0.98,Yes,20,50.0,Yes
634,"seq_epochs_()_num_655",0.57,Yes,0.19,No,0.41,No,0.91,Yes,0.86,Yes,20,50.0,No
635,"seq_epochs_()_num_656",1.0,Yes,0.7,Yes,1.0,Yes,1.0,Yes,0.85,Yes,20,50.0,No
636,"seq_epochs_()_num_657",0.92,Yes,0.34,No,0.95,Yes,1.0,Yes,0.57,Yes,20,50.0,Yes
637,"seq_epochs_()_num_658",0.77,Yes,0.05,No,0.94,Yes,0.99,Yes,0.98,Yes,20,50.0,No
638,"seq_epochs_()_num_659",1.0,Yes,0.63,Yes,1.0,Yes,1.0,Yes,0.92,Yes,20,50.0,Yes
639,"seq_epochs_()_num_660",1.0,Yes,0.74,Yes,1.0,Yes,1.0,Yes,0.97,Yes,20,50.0,Yes
640,"seq_epochs_()_num_661",0.97,Yes,0.52,Yes,0.98,Yes,0.76,Yes,0.89,Yes,20,50.0,No
641,"seq_epochs_()_num_662",0.86,Yes,0.0,No,0.56,Yes,0.61,Yes,0.77,Yes,20,50.0,No
642,"seq_epochs_()_num_663",0.88,Yes,0.5,Yes,0.99,Yes,0.89,Yes,0.81,Yes,20,50.0,Yes
643,"seq_epochs_()_num_664",0.09,No,0.13,No,0.29,No,0.1,No,0.98,Yes,20,50.0,No
644,"seq_epochs_()_num_665",0.06,No,0.01,No,0.09,No,0.38,No,0.89,Yes,20,50.0,No
645,"seq_epochs_()_num_666",0.87,Yes,0.53,Yes,0.99,Yes,0.8,Yes,0.45,No,20,50.0,No
646,"seq_epochs_()_num_667",1.0,Yes,0.56,Yes,0.99,Yes,0.85,Yes,0.9,Yes,20,50.0,Yes
647,"seq_epochs_()_num_668",0.06,No,0.02,No,0.34,No,0.63,Yes,0.98,Yes,20,50.0,Yes
648,"seq_epochs_()_num_669",0.08,No,0.18,No,0.28,No,0.22,No,0.96,Yes,20,50.0,No
649,"seq_epochs_()_num_670",0.14,No,0.07,No,0.3,No,0.93,Yes,0.0,No,20,50.0,No
650,"seq_epochs_()_num_671",1.0,Yes,0.52,Yes,1.0,Yes,0.99,Yes,0.99,Yes,20,50.0,Yes
651,"seq_epochs_()_num_672",0.69,Yes,0.32,No,0.71,Yes,0.85,Yes,0.42,No,20,50.0,Yes
652,"seq_epochs_()_num_673",0.23,No,0.49,No,0.22,No,0.09,No,0.03,No,20,50.0,No
653,"seq_epochs_()_num_674",0.99,Yes,0.94,Yes,0.99,Yes,1.0,Yes,0.15,No,20,50.0,No
654,"seq_epochs_()_num_675",0.64,Yes,0.69,Yes,0.98,Yes,0.99,Yes,0.85,Yes,20,50.0,No
655,"seq_epochs_()_num_677",0.49,Yes,0.28,No,0.63,Yes,0.97,Yes,0.97,Yes,20,50.0,Yes
656,"seq_epochs_()_num_678",0.85,Yes,0.52,Yes,0.98,Yes,0.81,Yes,0.67,Yes,20,50.0,No
657,"seq_epochs_()_num_679",0.03,No,0.06,No,0.76,Yes,0.79,Yes,0.97,Yes,20,50.0,No
658,"seq_epochs_()_num_680",0.97,Yes,0.68,Yes,0.96,Yes,0.99,Yes,0.81,Yes,20,50.0,Yes
659,"seq_epochs_()_num_681",0.13,No,0.04,No,0.59,Yes,0.36,No,0.85,Yes,20,50.0,No
660,"seq_epochs_()_num_682",0.97,Yes,0.49,No,0.53,Yes,0.21,No,0.94,Yes,20,50.0,No
661,"seq_epochs_()_num_683",0.99,Yes,0.33,No,1.0,Yes,0.99,Yes,0.99,Yes,20,50.0,No
662,"seq_epochs_()_num_684",1.0,Yes,0.51,Yes,1.0,Yes,1.0,Yes,0.61,Yes,20,50.0,Yes
663,"seq_epochs_()_num_685",0.85,Yes,0.99,Yes,0.99,Yes,1.0,Yes,0.98,Yes,20,50.0,No
664,"seq_epochs_()_num_686",0.09,No,0.03,No,0.12,No,0.94,Yes,0.87,Yes,20,50.0,Yes
665,"seq_epochs_()_num_687",1.0,Yes,0.7,Yes,1.0,Yes,0.98,Yes,0.51,Yes,20,50.0,No
666,"seq_epochs_()_num_688",0.65,Yes,0.1,No,0.38,No,0.9,Yes,0.92,Yes,20,50.0,No
667,"seq_epochs_()_num_689",1.0,Yes,0.74,Yes,1.0,Yes,0.92,Yes,0.91,Yes,20,50.0,Yes
668,"seq_epochs_()_num_690",0.53,Yes,0.46,No,0.93,Yes,0.74,Yes,0.95,Yes,20,50.0,Yes
